"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"wtaesraq","wtaesraq;q0.667;c0.125;t0.2800","-5.684E-13","-3.597E-07","82","All",1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.562547,0.0117361,0.108333,0.015,0.162361,0.375,0.36875,0.38125,0.01025,0.034,0.06525,0.06525,0.775,0.5,0.5,0.79,0.79,0.7275,0.1475,0.775,0.95,0.74375,0.19375,1000.75,1000.2,-0.05,-0.05,-0.5,0.666667,0.583333,0.583333,0.666667,0.666667,0.5,0.5,0.5,0.5,0.5,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.28
"wtaesraq","wtaesraq;q0.667;c0.125;t0.2800","-5.684E-13","-3.597E-07","82","PBias1",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.562547,0.0367361,0.191667,0.075,0.262361,0.475,0.50625,0.44375,0.09125,0.115,0.14625,0.14625,0.475,0.5,0.5,0.4,0.4,0.3375,0.5375,0.475,0.95,0.44375,0.49375,1000.43,1000.51,-0.05,-0.05,-0.5,0.666667,0.470833,0.583333,0.666667,0.666667,0.05,0.5,0.5,0.275,0.05,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.28
"wtaesraq","wtaesraq;q0.667;c0.125;t0.2800","-5.684E-13","-3.597E-07","82","PBias2",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.562547,0.0367361,0.191667,0.025,0.262361,0.475,0.50625,0.44375,0.00125,0.025,0.05625,0.05625,0.475,0.5,0.5,0.5,0.5,0.4375,0.4375,0.475,0.95,0.44375,0.49375,1000.43,1000.51,-0.05,-0.05,-0.5,0.666667,0.495833,0.583333,0.666667,0.666667,0.15,0.5,0.5,0.325,0.15,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.28
"wtaesraq","wtaesraq;q0.667;c0.125;t0.2800","-5.684E-13","-3.597E-07","82","PBias3",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.562547,0.0084028,0.0916667,0.025,0.229028,0.441667,0.460417,0.422917,0.00125,0.025,0.05625,0.05625,0.575,0.5,0.5,0.6,0.6,0.5375,0.3375,0.575,0.95,0.54375,0.39375,1000.53,1000.41,-0.05,-0.05,-0.5,0.666667,0.520833,0.583333,0.666667,0.666667,0.25,0.5,0.5,0.375,0.25,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.28
"wtaesraq","wtaesraq;q0.667;c0.125;t0.2800","-5.684E-13","-3.597E-07","82","PBias4",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.562547,6.9444E-5,0.00833333,0.025,0.195694,0.408333,0.414583,0.402083,0.00125,0.025,0.05625,0.05625,0.675,0.5,0.5,0.7,0.7,0.6375,0.2375,0.675,0.95,0.64375,0.29375,1000.64,1000.3,-0.05,-0.05,-0.5,0.666667,0.545833,0.583333,0.666667,0.666667,0.35,0.5,0.5,0.425,0.35,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.28
"wtaesraq","wtaesraq;q0.667;c0.125;t0.2800","-5.684E-13","-3.597E-07","82","PBias5",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.562547,0.0117361,0.108333,0.025,0.162361,0.375,0.36875,0.38125,0.00125,0.025,0.05625,0.05625,0.775,0.5,0.5,0.8,0.8,0.7375,0.1375,0.775,0.95,0.74375,0.19375,1000.75,1000.2,-0.05,-0.05,-0.5,0.666667,0.570833,0.583333,0.666667,0.666667,0.45,0.5,0.5,0.475,0.45,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.28
"wtaesraq","wtaesraq;q0.667;c0.125;t0.2800","-5.684E-13","-3.597E-07","82","PBias6",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.562547,0.0434028,0.208333,0.025,0.129028,0.341667,0.322917,0.360417,0.00125,0.025,0.05625,0.05625,0.875,0.5,0.5,0.9,0.9,0.8375,0.0375,0.875,0.95,0.84375,0.09375,1000.85,1000.09,-0.05,-0.05,-0.5,0.666667,0.595833,0.583333,0.666667,0.666667,0.55,0.5,0.5,0.525,0.55,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.28
"wtaesraq","wtaesraq;q0.667;c0.125;t0.2800","-5.684E-13","-3.597E-07","82","PBias7",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.562547,0.0950694,0.308333,0.025,0.095694,0.308333,0.277083,0.339583,0.00125,0.025,0.05625,0.05625,0.975,0.5,0.5,1,1,0.9375,-0.0625,0.975,0.95,0.94375,-0.00625,1000.96,999.988,-0.05,-0.05,-0.5,0.666667,0.620833,0.583333,0.666667,0.666667,0.65,0.5,0.5,0.575,0.65,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.28
"wtaesraq","wtaesraq;q0.667;c0.125;t0.2800","-5.684E-13","-3.597E-07","82","PBias8",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.562547,0.0950694,0.308333,0.025,0.095694,0.308333,0.277083,0.339583,0.00125,0.025,0.05625,0.05625,0.975,0.5,0.5,1,1,0.9375,-0.0625,0.975,0.95,0.94375,-0.00625,1000.96,999.988,-0.05,-0.05,-0.5,0.666667,0.645833,0.583333,0.666667,0.666667,0.75,0.5,0.5,0.625,0.75,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.28
"wtaesraq","wtaesraq;q0.667;c0.125;t0.2800","-5.684E-13","-3.597E-07","82","PBias9",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.562547,0.0950694,0.308333,0.025,0.095694,0.308333,0.277083,0.339583,0.00125,0.025,0.05625,0.05625,0.975,0.5,0.5,1,1,0.9375,-0.0625,0.975,0.95,0.94375,-0.00625,1000.96,999.988,-0.05,-0.05,-0.5,0.666667,0.670833,0.583333,0.666667,0.666667,0.85,0.5,0.5,0.675,0.85,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.28
