"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"wta","wta;q0.333;c0.250;t0.8800","-2.6370000000000003E-16","-6.975E-11","17","All",1,0,0,0.5,0.5,0.5,0.9,-0.065,0,0,0.399688,0.05,0.0177778,0.133333,0.05,0.22434,0.434167,0.449167,0.419167,0.0630625,0.1415,0.1565,0.1265,0.215,0.44,0.24,0.25,0.185,0.06,0.69,0.2,0.05,0.1375,0.7375,0.1375,0.7375,-0.05,-0.05,-0.5,0.333333,0.416667,0.416667,0.333333,0.333333,0.5,0.5,0.5,0.5,0.5,0.5,0.333333,0.5,1,0,0,0.333333,0.666667,0.333333,0.25,1,0,0.88
"wta","wta;q0.333;c0.250;t0.8800","-2.6370000000000003E-16","-6.975E-11","17","PBias1",0.1,0,0,1,0,0,0.8,-0.1,0,0,0.05,0.05,0.0802778,0.283333,0.05,0.080278,0.283333,0.283333,0.283333,0.0025,0.05,0.05,0.05,0.05,0.5,0.1,0,-0.1,-0.225,0.975,0.05,0.05,0.05,0.95,0.05,0.95,-0.05,-0.05,-0.5,0.333333,0.341667,0.416667,0.333333,0.333333,0.05,0.5,0.5,0.35,0.05,0.5,0.333333,0.5,1,0,0,0.333333,0.666667,0.333333,0.25,1,0,0.88
"wta","wta;q0.333;c0.250;t0.8800","-2.6370000000000003E-16","-6.975E-11","17","PBias2",0.1,0,0,1,0,0,0.8,-0.1,0,0,0.05,0.05,0.0802778,0.283333,0.05,0.080278,0.283333,0.283333,0.283333,0.0925,0.14,0.14,0.14,0.05,0.5,0.1,0.1,-1.3877800000000002E-17,-0.125,0.875,0.05,0.05,0.05,0.95,0.05,0.95,-0.05,-0.05,-0.5,0.333333,0.358333,0.416667,0.333333,0.333333,0.15,0.5,0.5,0.383333,0.15,0.5,0.333333,0.5,1,0,0,0.333333,0.666667,0.333333,0.25,1,0,0.88
"wta","wta;q0.333;c0.250;t0.8800","-2.6370000000000003E-16","-6.975E-11","17","PBias3",0.1,0,0,1,0,0,0.8,-0.1,0,0,0.05,0.05,0.0802778,0.283333,0.05,0.080278,0.283333,0.283333,0.283333,0.0925,0.14,0.14,0.14,0.05,0.5,0.1,0.1,-1.3877800000000002E-17,-0.125,0.875,0.05,0.05,0.05,0.95,0.05,0.95,-0.05,-0.05,-0.5,0.333333,0.375,0.416667,0.333333,0.333333,0.25,0.5,0.5,0.416667,0.25,0.5,0.333333,0.5,1,0,0,0.333333,0.666667,0.333333,0.25,1,0,0.88
"wta","wta;q0.333;c0.250;t0.8800","-2.6370000000000003E-16","-6.975E-11","17","PBias4",0.1,0,0,1,0,0,0.8,-0.1,0,0,0.05,0.05,0.0802778,0.283333,0.15,0.080278,0.283333,0.283333,0.283333,0.1825,0.23,0.23,0.23,0.05,0.5,0.1,0.2,0.1,-0.025,0.775,0.05,0.05,0.05,0.95,0.05,0.95,-0.05,-0.05,-0.5,0.333333,0.391667,0.416667,0.333333,0.333333,0.35,0.5,0.5,0.45,0.35,0.5,0.333333,0.5,1,0,0,0.333333,0.666667,0.333333,0.25,1,0,0.88
"wta","wta;q0.333;c0.250;t0.8800","-2.6370000000000003E-16","-6.975E-11","17","PBias5",0.1,0,0,1,0,0,0.8,-0.1,0,0,0.05,0.05,0.0802778,0.283333,0.15,0.080278,0.283333,0.283333,0.283333,0.1825,0.23,0.23,0.23,0.05,0.5,0.1,0.2,0.1,-0.025,0.775,0.05,0.05,0.05,0.95,0.05,0.95,-0.05,-0.05,-0.5,0.333333,0.408333,0.416667,0.333333,0.333333,0.45,0.5,0.5,0.483333,0.45,0.5,0.333333,0.5,1,0,0,0.333333,0.666667,0.333333,0.25,1,0,0.88
"wta","wta;q0.333;c0.250;t0.8800","-2.6370000000000003E-16","-6.975E-11","17","PBias6",0.1,0,0,0,1,1,1,-0.05,0,0,0.65,0.05,0.0069444,0.0833333,0.05,0.335069,0.558333,0.608333,0.508333,0.015625,0.125,0.175,0.075,0.3,0.3,0.3,0.3,0.25,0.125,0.625,0.25,,0.125,0.625,0.125,0.625,-0.05,-0.05,-0.5,0.333333,0.425,0.416667,0.333333,0.333333,0.55,0.5,0.5,0.516667,0.55,0.5,0.333333,0.5,1,0,0,0.333333,0.666667,0.333333,0.25,1,0,0.88
"wta","wta;q0.333;c0.250;t0.8800","-2.6370000000000003E-16","-6.975E-11","17","PBias7",0.1,0,0,0,1,1,1,-0.05,0,0,0.65,0.05,0.0069444,0.0833333,0.05,0.335069,0.558333,0.608333,0.508333,0.015625,0.125,0.175,0.075,0.3,0.3,0.3,0.3,0.25,0.125,0.625,0.25,,0.125,0.625,0.125,0.625,-0.05,-0.05,-0.5,0.333333,0.441667,0.416667,0.333333,0.333333,0.65,0.5,0.5,0.55,0.65,0.5,0.333333,0.5,1,0,0,0.333333,0.666667,0.333333,0.25,1,0,0.88
"wta","wta;q0.333;c0.250;t0.8800","-2.6370000000000003E-16","-6.975E-11","17","PBias8",0.1,0,0,0,1,1,1,-0.025,0,0,0.825,0.05,0.0017361,0.0416667,0.025,0.376736,0.591667,0.616667,0.566667,0.015625,0.125,0.15,0.1,0.4,0.4,0.4,0.4,0.375,0.25,0.5,0.375,,0.25,0.5,0.25,0.5,-0.05,-0.05,-0.5,0.333333,0.458333,0.416667,0.333333,0.333333,0.75,0.5,0.5,0.583333,0.75,0.5,0.333333,0.5,1,0,0,0.333333,0.666667,0.333333,0.25,1,0,0.88
"wta","wta;q0.333;c0.250;t0.8800","-2.6370000000000003E-16","-6.975E-11","17","PBias9",0.1,0,0,0,1,1,1,-0.025,0,0,0.7,0.05,0.0017361,0.0416667,0.025,0.376736,0.591667,0.616667,0.566667,0.015625,0.125,0.15,0.1,0.4,0.4,0.4,0.4,0.375,0.25,0.5,0.375,,0.25,0.5,0.25,0.5,-0.05,-0.05,-0.5,0.333333,0.475,0.416667,0.333333,0.333333,0.85,0.5,0.5,0.616667,0.85,0.5,0.333333,0.5,1,0,0,0.333333,0.666667,0.333333,0.25,1,0,0.88
